[5, 30, 32, 34, 35, 53]
[5, 8, 10, 30, 34, 44]
[5, 23, 30, 54, 56, 58]
[17, 21, 23, 30, 37, 39]
[12, 16, 18, 35, 38, 47]
[10, 18, 19, 27, 28, 52]
[18, 23, 28, 34, 35, 42]
[11, 16, 17, 35, 47, 53]
[10, 11, 28, 29, 37, 52]
[5, 10, 11, 27, 32, 41]
[10, 19, 44, 47, 53, 54]
[8, 16, 18, 19, 28, 60]
[8, 10, 18, 42, 47, 49]
[24, 35, 43, 47, 53, 56]
[12, 19, 23, 33, 42, 53]
[10, 28, 32, 52, 53, 58]
[8, 20, 23, 28, 34, 42]
[10, 22, 30, 34, 39, 58]
[23, 33, 34, 38, 47, 53]
[8, 16, 23, 32, 45, 53]
[11, 16, 20, 28, 29, 36]
[16, 23, 33, 34, 37, 41]
[4, 5, 54, 56, 58, 60]
[17, 27, 29, 36, 39, 53]
[5, 10, 16, 42, 47, 53]
[8, 29, 30, 47, 54, 58]
[5, 10, 12, 19, 28, 53]
[18, 23, 32, 35, 44, 54]
[10, 11, 19, 35, 43, 53]
[17, 29, 30, 36, 42, 47]
[4, 23, 35, 38, 53, 54]
[10, 16, 22, 33, 42, 58]
[29, 32, 44, 49, 54, 60]
[10, 22, 27, 30, 47, 58]
[5, 10, 16, 20, 42, 60]
[10, 20, 22, 30, 32, 53]
[18, 19, 32, 38, 43, 47]
[19, 24, 30, 43, 47, 54]
[4, 5, 30, 53, 54, 57]
[18, 19, 20, 27, 28, 35]
[5, 17, 42, 52, 53, 57]
[4, 5, 22, 41, 42, 56, 57]
[4, 5, 17, 18, 27, 29, 30, 56]
[19, 23, 47, 53, 54, 57]
[4, 5, 16, 18, 23, 28, 30, 32, 39, 42, 53]
[10, 18, 21, 27, 33, 34, 53, 54]
[4, 29, 32, 34, 45, 53]
[17, 21, 32, 54, 58, 60]
[10, 23, 24, 30, 32, 53]
[27, 30, 34, 45, 53, 54]
[5, 10, 16, 33, 41, 54]
[10, 18, 24, 34, 39, 47]
[19, 22, 27, 28, 42, 54]
[5, 10, 28, 33, 35, 58]
[12, 21, 28, 35, 37, 53]
[4, 5, 12, 17, 47, 58]
[16, 18, 28, 30, 38, 54]
